platforms_mac,pc_requirements_recommended,price_overview_currency,linux_requirements_recommended,platforms_windows,required_age,header_image,pc_requirements_minimum,current_players,linux_requirements_minimum,is_free,price_overview_initial,steam_appid,price_overview_final,price_overview_discount_percent,coming_soon,recommendations_total,name,metacritic_score,platforms_linux,release_date,mac_requirements_recommended,metacritic_url,mac_requirements_minimum,developers,type,publishers
"false","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: 64-bit Windows 7, Windows 8.1, Windows 10<br>&emsp;Processor: Intel Core i5-6600K / AMD Ryzen 5 1600<br>&emsp;Memory: 16 GB RAM<br>&emsp;Graphics: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB<br>&emsp;DirectX: Version 11<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 30 GB available space","GBP","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","true",0,"https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1539300944","Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: 64-bit Windows 7, Windows 8.1, Windows 10<br>&emsp;Processor: Intel Core i5-4430 / AMD FX-6300<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB<br>&emsp;DirectX: Version 11<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 30 GB available space",508453,"Minimum:<br>&emsp;Requires a 64-bit processor and operating system","false",2699,578080,2699,0,"false",757894,"PLAYERUNKNOWN'S BATTLEGROUNDS",86,"false","21 Dec, 2017","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","https://www.metacritic.com/game/pc/playerunknowns-battlegrounds?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;Requires a 64-bit processor and operating system","PUBG Corporation","game","PUBG Corporation"
"true",,,,"true",0,"https://steamcdn-a.akamaihd.net/steam/apps/570/header.jpg?t=1536248487","Minimum:<br>&emsp;OS: Windows 7 or newer<br>&emsp;Processor: Dual core from Intel or AMD at 2.8 GHz<br>&emsp;Memory: 4 GB RAM<br>&emsp;Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600<br>&emsp;DirectX: Version 9.0c<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space<br>&emsp;Sound Card: DirectX Compatible",421832,"Minimum:<br>&emsp;OS: Ubuntu 12.04 or newer<br>&emsp;Processor: Dual core from Intel or AMD at 2.8 GHz<br>&emsp;Memory: 4 GB RAM<br>&emsp;Graphics: nVidia Geforce 8600/9600GT (Driver v331), AMD HD 2xxx-4xxx (Driver mesa 10.5.9), AMD HD 5xxx+ (Driver mesa 10.5.9 or Catalyst 15.7), Intel HD 3000 (Driver mesa 10.6)<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space<br>&emsp;Sound Card: OpenAL Compatible Sound Card","true",,570,,,"false",15704,"Dota 2",90,"true","9 Jul, 2013",,"https://www.metacritic.com/game/pc/dota-2?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;OS: OS X Mavericks 10.9 or newer<br>&emsp;Processor: Dual core from Intel<br>&emsp;Memory: 4 GB RAM<br>&emsp;Graphics: nVidia 320M or higher, or Radeon HD 2400 or higher, or Intel HD 3000 or higher<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space","Valve","game","Valve"
"true",,"GBP",,"true",0,"https://steamcdn-a.akamaihd.net/steam/apps/730/header.jpg?t=1540300672","Minimum:<br>&emsp;OS: Windows® 7/Vista/XP<br>&emsp;Processor: Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or better<br>&emsp;Memory: 2 GB RAM<br>&emsp;Graphics: Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0<br>&emsp;DirectX: Version 9.0c<br>&emsp;Storage: 15 GB available space",257281,"Minimum:<br>&emsp;OS: Ubuntu 12.04<br>&emsp;Processor: 64-bit Dual core from Intel or AMD at 2.8 GHz<br>&emsp;Memory: 4 GB RAM<br>&emsp;Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1<br>&emsp;Storage: 15 GB available space<br>&emsp;Sound Card: OpenAL Compatible Sound Card","true",1139,730,1139,0,"false",1989871,"Counter-Strike: Global Offensive",83,"true","21 Aug, 2012",,"https://www.metacritic.com/game/pc/counter-strike-global-offensive?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;OS: MacOS X 10.7 (Lion) or later<br>&emsp;Processor: Intel Core Duo Processor (2GHz or better)<br>&emsp;Memory: 2 GB RAM<br>&emsp;Graphics: ATI Radeon HD 2400 or better / NVidia 8600M or better<br>&emsp;Storage: 15 GB available space","Valve","game","Valve"
"true","Recommended:<br>&emsp;OS: Windows® 7 (32/64-bit)<br>&emsp;Processor: Pentium 4 processor (3.0GHz, or better)<br>&emsp;Memory: 1 GB RAM<br>&emsp;DirectX: Version 9.0c<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space",,,"true",0,"https://steamcdn-a.akamaihd.net/steam/apps/440/header.jpg?t=1539304875","Minimum:<br>&emsp;OS: Windows® 7 (32/64-bit)/Vista/XP<br>&emsp;Processor: 1.7 GHz Processor or better<br>&emsp;Memory: 512 MB RAM<br>&emsp;DirectX: Version 8.1<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space",62872,"Minimum:<br>&emsp;OS: Ubuntu 12.04<br>&emsp;Processor: Dual core from Intel or AMD at 2.8 GHz<br>&emsp;Memory: 1 GB RAM<br>&emsp;Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space<br>&emsp;Sound Card: OpenAL Compatible Sound Card","true",,440,,,"false",10327,"Team Fortress 2",92,"true","10 Oct, 2007",,"https://www.metacritic.com/game/pc/team-fortress-2?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;OS: OS X version Leopard 10.5.8 and above<br>&emsp;Processor: 1.7 GHz Processor or better<br>&emsp;Memory: 1 GB RAM<br>&emsp;Graphics: NVIDIA GeForce 8 or higher, ATI X1600 or higher, Intel HD 3000 or higher<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 15 GB available space","Valve","game","Valve"
"false","Recommended:<br>&emsp;OS: Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions required)<br>&emsp;Processor: Intel Core i5-2500K @ 3.3 GHz or better or AMD FX-8120 @ 3.1 Ghz or better<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) or AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X)<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 61 GB available space<br>&emsp;Sound Card: DirectX® 9.0c compatible sound card 5.1 with latest drivers<br>&emsp;Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.","GBP",,"true",0,"https://steamcdn-a.akamaihd.net/steam/apps/359550/header.jpg?t=1538561874","Minimum:<br>&emsp;OS: Windows 7, Windows 8.1, Windows 10 (64bit versions required)<br>&emsp;Processor: Intel Core i3 560 @ 3.3 GHz or AMD Phenom II X4 945 @ 3.0 GHz<br>&emsp;Memory: 6 GB RAM<br>&emsp;Graphics: NVIDIA GeForce GTX 460 or AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM)<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 61 GB available space<br>&emsp;Sound Card: DirectX® 9.0c compatible sound card with latest drivers<br>&emsp;Additional Notes: SUPPORTED VIDEO CARDS AT TIME OF RELEASE:  GeForce GTX 460 or better, GTX 560 or better, GTX 650 or better, GTX 750 or better, or any card from the GT900 and Titan Series, Radeon HD5870 or better, HD6870 or better, HD7770 or better, R7 260X or better, or any card from the R-300 series and Fury X. Laptop models of these cards may work but are not supported. These chipsets are the only ones that will run this game. Additional chipsets may be supported after release. For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website: http://support.ubi.com. Game contains FairFight (https://www.gameblocks.com/products) and BattleEye (https://www.battleye.com/) anti-cheat technology.",44456,,"false",1249,359550,1249,0,"false",189866,"Tom Clancy's Rainbow Six® Siege",,"false","1 Dec, 2015",,,,"Ubisoft Montreal","game","Ubisoft"
"false",,,,"true",13,"https://steamcdn-a.akamaihd.net/steam/apps/230410/header.jpg?t=1537907871","Minimum:<br>&emsp;OS:Windows XP SP 3 or higher<br>	&emsp;Processor:Intel Core 2 Duo e6400 or AMD Athlon x64 4000+<br>	&emsp;Memory:2 GB RAM<br>	&emsp;Graphics:Nvidia GeForce 8600 GT or ATI Radeon HD 3600<br>	&emsp;DirectX®:9.0c<br>	&emsp;Hard Drive:25 GB HD space<br>	&emsp;Other Requirements:Broadband Internet connection",36962,,"true",,230410,,,"false",3178,"Warframe",71,"false","25 Mar, 2013",,"https://www.metacritic.com/game/pc/warframe?ftag=MCD-06-10aaa1f",,"Digital Extremes","game","Digital Extremes"
"false","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1<br>&emsp;Processor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) / AMD X8 FX-8350 @ 4GHz (8 CPUs)<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA GTX 660 2GB / AMD HD 7870 2GB<br>&emsp;Storage: 72 GB available space<br>&emsp;Sound Card: 100% DirectX 10 compatible<br>&emsp;Additional Notes: ","GBP","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","true",17,"https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1539304955","Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1<br>&emsp;Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz<br>&emsp;Memory: 4 GB RAM<br>&emsp;Graphics: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)<br>&emsp;Storage: 72 GB available space<br>&emsp;Sound Card: 100% DirectX 10 compatible<br>&emsp;Additional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.",36655,"Minimum:<br>&emsp;Requires a 64-bit processor and operating system","false",2499,271590,2499,0,"false",359510,"Grand Theft Auto V",96,"false","13 Apr, 2015","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","https://www.metacritic.com/game/pc/grand-theft-auto-v?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;Requires a 64-bit processor and operating system","Rockstar North","game","Rockstar Games"
"true","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: Windows 10 64bit<br>&emsp;Processor: Intel Core i7-4690K / AMD Ryzen 5 1600<br>&emsp;Memory: 16 GB RAM<br>&emsp;Graphics: GTX 980 / AMD R9 Fury<br>&emsp;DirectX: Version 12<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space","GBP","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;Processor: Intel Core i7-4690K / AMD Ryzen 5 1600<br>&emsp;Memory: 16 GB RAM<br>&emsp;Graphics: GTX 980 / AMD R9 Fury<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 12 GB available space","true",17,"https://steamcdn-a.akamaihd.net/steam/apps/252490/header.jpg?t=1538647482","Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: Windows 7 64bit<br>&emsp;Processor: Intel Core i7-3770 / AMD FX-9590 or better<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: GTX 670 2GB / AMD R9 280 better<br>&emsp;DirectX: Version 11<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space",24346,"Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;Processor: Intel Core i7-3770 / AMD FX-9590 or better<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: GTX 670 2GB / AMD R9 280 better<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 10 GB available space","false",2779,252490,1389,50,"false",185262,"Rust",69,"false","8 Feb, 2018","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: OS X El Capitan 10.11<br>&emsp;Processor: Intel Core i7-4690K / AMD Ryzen 5 1600<br>&emsp;Memory: 16 GB RAM<br>&emsp;Graphics: GTX 980 / AMD R9 Fury<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space","https://www.metacritic.com/game/pc/rust?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: OS X Lion 10.7<br>&emsp;Processor: Intel Core i7-3770 / AMD FX-9590 or better<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: GTX 670 2GB / AMD R9 280 better<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space","Facepunch Studios","game","Facepunch Studios"
"true",,"GBP",,"true",0,"https://steamcdn-a.akamaihd.net/steam/apps/346110/header.jpg?t=1529427276","Minimum:<br>&emsp;OS: Windows 7/8.1/10 (64-bit versions)<br>&emsp;Processor: Intel Core i5-2400/AMD FX-8320 or better<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better<br>&emsp;DirectX: Version 10<br>&emsp;Storage: 60 GB available space<br>&emsp;Additional Notes: Requires broadband internet connection for multiplayer",21999,"Minimum:<br>&emsp;OS: Ubuntu Equivalent Distro<br>&emsp;Processor: 2 GHz 64-bit CPU<br>&emsp;Memory: 4000 MB RAM<br>&emsp;Graphics: OpenGL 3 Compatible GPU with 1GB Video RAM<br>&emsp;Storage: 20000 MB available space","false",4499,346110,4499,0,"false",154013,"ARK: Survival Evolved",70,"true","29 Aug, 2017",,"https://www.metacritic.com/game/pc/ark-survival-evolved?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;OS: OSX 10.9 or Higher<br>&emsp;Processor: 2 GHz Equivalent CPU<br>&emsp;Memory: 4000 MB RAM<br>&emsp;Graphics: OpenGL 3 Compatible GPU with 1GB Video RAM<br>&emsp;Storage: 20000 MB available space","Studio Wildcard<br/>Instinct Games<br/>Efecto Studios<br/>Virtual Basement LLC","game","Studio Wildcard"
"false","Recommended:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)<br>&emsp;Processor: Intel® Core™ i7 3770 3.4GHz or Intel® Core™ i3 8350 4GHz or AMD Ryzen™ 5 1500X<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or AMD Radeon™ RX 570  (VRAM 4GB)<br>&emsp;DirectX: Version 11<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space<br>&emsp;Sound Card: DirectSound (DirectX® 9.0c or better)<br>&emsp;Additional Notes: 1080p/30fps when graphics settings are set to &quot;High&quot;","GBP","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","true",0,"https://steamcdn-a.akamaihd.net/steam/apps/582010/header.jpg?t=1539907566","Minimum:<br>&emsp;Requires a 64-bit processor and operating system<br>&emsp;OS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)<br>&emsp;Processor: Intel® Core™ i5-4460, 3.20GHz or AMD FX™-6300<br>&emsp;Memory: 8 GB RAM<br>&emsp;Graphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x (VRAM 2GB)<br>&emsp;DirectX: Version 11<br>&emsp;Network: Broadband Internet connection<br>&emsp;Storage: 20 GB available space<br>&emsp;Sound Card: DirectSound (DirectX® 9.0c)<br>&emsp;Additional Notes: 1080p/30fps when graphics settings are set to &quot;Low&quot;",21683,"Minimum:<br>&emsp;Requires a 64-bit processor and operating system","false",4999,582010,4999,0,"false",40693,"MONSTER HUNTER: WORLD",88,"false","9 Aug, 2018","Recommended:<br>&emsp;Requires a 64-bit processor and operating system","https://www.metacritic.com/game/pc/monster-hunter-world?ftag=MCD-06-10aaa1f","Minimum:<br>&emsp;Requires a 64-bit processor and operating system","CAPCOM Co., Ltd.","game","CAPCOM Co., Ltd."
